
top - 15:20:16 up 11 min,  2 users,  load average: 0.12, 0.33, 0.30
Tasks: 187 total,   2 running, 185 sleeping,   0 stopped,   0 zombie
Cpu(s):  1.6%us,  0.7%sy,  0.9%ni, 91.8%id,  4.9%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:   4008132k total,  2234824k used,  1773308k free,   190076k buffers
Swap:  4151292k total,        0k used,  4151292k free,   622864k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                                                                      
  612 syslog    20   0  243m 1456 1136 S    0  0.0   0:00.03 rsyslogd                                                                                                     
  620 messageb  20   0 25072 2248  832 S    0  0.1   0:00.31 dbus-daemon                                                                                                  
  632 root      20   0 21188 1724 1444 S    0  0.0   0:00.00 bluetoothd                                                                                                   
  703 root       0 -20     0    0    0 S    0  0.0   0:00.00 edac-poller                                                                                                  
  705 root      10 -10     0    0    0 S    0  0.0   0:00.00 krfcommd                                                                                                     
  739 root      20   0 21832 1236  392 S    0  0.0   0:00.00 udevd                                                                                                        
  740 root      20   0 21932 1284  340 S    0  0.0   0:00.00 udevd                                                                                                        
  839 root      20   0 15188  392  196 S    0  0.0   0:00.00 upstart-socket-                                                                                              
  850 root       0 -20     0    0    0 S    0  0.0   0:00.00 hd-audio0                                                                                                    
  874 root      20   0  101m 4164 3092 S    0  0.1   0:00.01 cupsd                                                                                                        
  884 root       0 -20     0    0    0 S    0  0.0   0:00.00 hd-audio1                                                                                                    
  889 avahi     20   0 32312 1540 1264 S    0  0.0   0:00.00 avahi-daemon                                                                                                 
  890 avahi     20   0 32180  468  216 S    0  0.0   0:00.00 avahi-daemon                                                                                                 
  919 root      20   0 79040 3184 2388 S    0  0.1   0:00.01 modem-manager                                                                                                
  955 root      20   0  232m 5248 4152 S    0  0.1   0:00.16 NetworkManager                                                                                               
  958 root      20   0  190m 4108 2972 S    0  0.1   0:00.18 polkitd                                                                                                      
 1018 root      20   0 19984  976  812 S    0  0.0   0:00.00 getty                                                                                                        
 1029 root      20   0 19984  968  812 S    0  0.0   0:00.00 getty                                                                                                        
 1059 root      20   0 19984  972  812 S    0  0.0   0:00.00 getty                                                                                                        
 1060 root      20   0 19984  968  812 S    0  0.0   0:00.00 getty                                                                                                        
 1062 root      20   0 19984  976  812 S    0  0.0   0:00.00 getty                                                                                                        
 1067 root      20   0  4460  816  556 S    0  0.0   0:00.00 acpid                                                                                                        
 1069 root      20   0 12744  964  772 S    0  0.0   0:00.00 anacron                                                                                                      
 1073 whoopsie  20   0  197m 5160 3748 S    0  0.1   0:00.02 whoopsie                                                                                                     
 1074 root      20   0  264m 3492 2840 S    0  0.1   0:00.02 lightdm                                                                                                      
 1085 root      20   0 19112 1004  776 S    0  0.0   0:00.00 cron                                                                                                         
 1086 daemon    20   0 16908  372  216 S    0  0.0   0:00.00 atd                                                                                                          
 1096 root      20   0 15980  692  512 S    0  0.0   0:00.08 irqbalance                                                                                                   
 1137 root      20   0  4844 1076  356 S    0  0.0   0:00.02 hddtemp                                                                                                      
 1218 root      20   0  4400  616  512 S    0  0.0   0:00.00 sh                                                                                                           
 1219 root      20   0 15236 1052  896 S    0  0.0   0:00.00 initctl                                                                                                      
 1301 root      20   0 25108 1684 1368 S    0  0.0   0:00.00 master                                                                                                       
 1378 root      20   0  118m 3744 3088 S    0  0.1   0:00.03 accounts-daemon                                                                                              
 1547 root      20   0 2042m 3832 2804 S    0  0.1   0:00.05 console-kit-dae                                                                                              
 1624 root      39  19 2879m 276m  11m S    0  7.1   0:17.88 java                                                                                                         
 1630 root      20   0  7264 1552 1056 S    0  0.0   0:00.00 dhclient                                                                                                     
 1652 root      20   0 19984  972  812 S    0  0.0   0:00.00 getty                                                                                                        
 1691 root      20   0     0    0    0 S    0  0.0   0:00.03 flush-8:0                                                                                                    
 1706 root      20   0  214m 4360 3396 S    0  0.1   0:00.03 upowerd                                                                                                      
 1916 nobody    20   0 33024 1520 1276 S    0  0.0   0:00.00 dnsmasq                                                                                                      
 1917 root      20   0  153m 3552 2840 S    0  0.1   0:00.03 lightdm                                                                                                      
 1988 rtkit     21   1  164m 1340 1112 S    0  0.0   0:00.00 rtkit-daemon                                                                                                 
 2047 colord    20   0  480m  11m 8804 S    0  0.3   0:00.10 colord                                                                                                       
 2157 postfix   20   0 27172 1532 1256 S    0  0.0   0:00.00 pickup                                                                                                       
 2158 postfix   20   0 27224 1560 1280 S    0  0.0   0:00.00 qmgr                                                                                                         
 2264 james     20   0  360m 3784 3032 S    0  0.1   0:00.04 gnome-keyring-d                                                                                              
 2275 james     20   0  385m 9976 7412 S    0  0.2   0:00.15 gnome-session                                                                                                
 2310 james     20   0 12568  316    0 S    0  0.0   0:00.00 ssh-agent                                                                                                    
 2313 james     20   0 26692  808  468 S    0  0.0   0:00.00 dbus-launch                                                                                                  
 2314 james     20   0 27312 3068  620 S    0  0.1   0:00.63 dbus-daemon                                                                                                  
 2323 james     20   0  729m  17m  11m S    0  0.4   0:00.35 gnome-settings-                                                                                              
 2332 james     20   0 52424 2512 2112 S    0  0.1   0:00.01 gvfsd                                                                                                        
 2334 james     20   0  203m 2836 2332 S    0  0.1   0:00.00 gvfs-fuse-daemo                                                                                              
